Course_Name,Related_Dept,Actual_Dept,A_and_I,Arts_Practice,Statistical_Reasoning,Lab,Literary_Analysis,Humanistic_Inquiry,Social_Inquiry,Writing_Rich_1,Writing_Rich_2,Quantitative_Reasoning,Intercultural_Domestic_Studies,International_Studies
AFAM100,AFAM,AFAM,1,0,0,0,0,0,0,1,0,0,0,1
AFAM320,AFAM,AFAM,0,0,0,0,0,0,0,0,0,0,0,0
DANC301,AFAM,DANC,0,1,0,0,0,0,0,0,0,0,0,0
ECON240,AFAM,ECON,0,0,0,0,0,0,1,0,0,1,0,1
ENGL117,AFAM,ENGL,0,0,0,0,1,0,0,0,1,0,1,0
HIST100,AFAM,HIST,1,0,0,0,0,1,0,1,0,0,1,0
HIST100,AFAM,HIST,1,0,0,0,0,1,0,1,0,0,0,1
HIST183,AFAM,HIST,0,0,0,0,0,1,0,0,0,0,0,1
HIST228,AFAM,HIST,0,0,0,0,0,1,0,0,1,0,1,0
MUSC136,AFAM,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC183J,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC192,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,1
MUSC195,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC199,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC283J,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
POSC122,AFAM,POSC,0,0,0,0,0,0,1,0,1,1,1,0
POSC218,AFAM,POSC,0,0,0,0,0,0,1,0,1,1,1,0
RELG244,AFAM,RELG,0,0,0,0,0,1,0,0,1,0,1,0
WGST265,AFAM,WGST,0,0,0,0,0,0,1,0,0,0,1,0
WGST266,AFAM,WGST,0,0,0,0,0,1,1,0,0,0,0,1
AFAM240,AFAM,AFAM,0,0,0,0,0,1,0,0,1,0,1,0
AFAM398,AFAM,AFAM,0,0,0,0,0,0,0,0,0,0,0,0
AFAM400,AFAM,AFAM,0,0,0,0,0,0,0,0,0,0,0,0
EDUC250,AFAM,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
EDUC338,AFAM,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
HIST120,AFAM,HIST,0,0,0,0,0,1,0,0,0,1,1,0
HIST229,AFAM,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST280,AFAM,HIST,0,0,0,0,0,1,0,0,1,0,0,1
MUSC126,AFAM,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC183J,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC192,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,1
MUSC199,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
USC245,AFAM,USC,0,1,0,0,0,0,0,0,0,0,0,1
MUSC306,AFAM,MUSC,0,0,0,0,0,1,0,0,1,0,0,0
POSC122,AFAM,POSC,0,0,0,0,0,0,1,0,0,1,1,0
POSC122,AFAM,POSC,0,0,0,0,0,0,1,0,0,1,1,0
POSC266,AFAM,POSC,0,0,0,0,0,0,1,0,0,0,1,0
POSC355,AFAM,POSC,0,0,0,0,0,0,1,0,1,0,0,1
POSC366,AFAM,POSC,0,0,0,0,0,0,1,0,0,0,0,1
PSYC384,AFAM,PSYC,0,0,0,0,0,0,1,0,0,0,1,0
RELG122,AFAM,RELG,0,0,0,0,0,1,0,0,1,0,0,1
SOAN272,AFAM,SOAN,0,0,0,0,0,0,1,0,0,1,1,0
SOAN314,AFAM,SOAN,0,1,0,0,0,1,1,0,0,1,1,0
GST110,AFAM,GST,0,0,0,0,0,1,0,0,0,0,0,0
AFAM115,AFAM,AFAM,0,0,0,0,0,1,0,0,0,0,1,0
AMST396,AFAM,AMST,0,0,0,0,0,1,0,0,1,0,0,0
CAMS219,AFAM,CAMS,0,0,0,0,1,0,0,0,0,0,0,1
DANC266,AFAM,DANC,0,0,0,0,0,1,0,0,0,0,1,0
EDUC245,AFAM,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
EDUC338,AFAM,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
ENGL238,AFAM,ENGL,0,0,0,0,1,0,0,0,0,0,0,1
ENGL258,AFAM,ENGL,0,0,0,0,1,0,0,0,1,0,1,0
FREN395,AFAM,FREN,0,1,0,0,1,0,0,0,0,0,0,1
HIST121,AFAM,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST126,AFAM,HIST,0,0,0,0,0,1,0,0,1,0,1,0
HIST283,AFAM,HIST,0,0,0,0,0,1,0,0,1,0,0,1
MUSC132,AFAM,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC183J,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC192,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,1
MUSC195,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC199,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC283J,AFAM,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
POSC122,AFAM,POSC,0,0,0,0,0,0,1,0,0,1,1,0
SOAN256,AFAM,SOAN,0,0,0,0,0,0,1,0,1,0,0,1
GST110,AFAM,GST,0,0,0,0,0,1,0,0,0,0,0,0
AMST115,AMMU,AMST,0,0,0,0,0,1,0,0,1,0,1,0
AMST261,AMMU,AMST,0,0,0,0,1,0,0,0,0,0,1,0
ENGL236,AMMU,ENGL,0,0,0,0,1,0,0,0,1,0,0,0
HIST226,AMMU,HIST,0,0,0,0,0,1,0,0,1,0,1,0
MUSC110,AMMU,MUSC,0,0,0,0,1,0,0,0,0,0,0,0
MUSC111,AMMU,MUSC,0,0,0,0,1,0,0,0,0,0,0,1
MUSC136,AMMU,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC215,AMMU,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
RELG244,AMMU,RELG,0,0,0,0,0,1,0,0,1,0,1,0
SOAN110,AMMU,SOAN,0,0,0,0,0,0,1,0,0,0,0,1
SOAN111,AMMU,SOAN,0,0,0,0,0,0,1,0,0,0,0,0
WGST265,AMMU,WGST,0,0,0,0,0,0,1,0,0,0,1,0
AMST247,AMMU,AMST,0,0,0,0,0,1,0,0,1,0,1,0
CAMS110,AMMU,CAMS,0,0,0,0,1,0,0,0,1,0,0,0
ENGL223,AMMU,ENGL,0,0,0,0,1,0,0,0,1,0,0,0
ENGL235,AMMU,ENGL,0,0,0,0,1,0,0,0,1,0,1,0
HIST120,AMMU,HIST,0,0,0,0,0,1,0,0,0,1,1,0
HIST229,AMMU,HIST,0,0,0,0,0,1,0,0,0,0,1,0
MUSC115,AMMU,MUSC,0,0,0,0,1,0,0,0,1,0,0,0
MUSC126,AMMU,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC204,AMMU,MUSC,0,0,0,0,1,0,0,0,1,0,0,0
USC245,AMMU,USC,0,1,0,0,0,0,0,0,0,0,0,1
MUSC247,AMMU,MUSC,0,1,0,0,0,0,0,0,1,0,1,0
MUSC247,AMMU,MUSC,0,1,0,0,0,0,0,0,1,0,1,0
MUSC306,AMMU,MUSC,0,0,0,0,0,1,0,0,1,0,0,0
POSC355,AMMU,POSC,0,0,0,0,0,0,1,0,1,0,0,1
SOAN110,AMMU,SOAN,0,0,0,0,0,0,1,0,0,0,0,1
SOAN111,AMMU,SOAN,0,0,0,0,0,0,1,0,0,0,0,0
SOAN272,AMMU,SOAN,0,0,0,0,0,0,1,0,0,1,1,0
GST110,AMMU,GST,0,0,0,0,0,1,0,0,0,0,0,0
AFAM115,AMMU,AFAM,0,0,0,0,0,1,0,0,0,0,1,0
AMST115,AMMU,AMST,0,0,0,0,0,1,0,0,1,0,1,0
AMST225,AMMU,AMST,0,0,0,0,0,1,0,0,1,0,1,0
AMST396,AMMU,AMST,0,0,0,0,0,1,0,0,1,0,0,0
CAMS110,AMMU,CAMS,0,0,0,0,1,0,0,0,1,0,0,0
DANC266,AMMU,DANC,0,0,0,0,0,1,0,0,0,0,1,0
HIST121,AMMU,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST126,AMMU,HIST,0,0,0,0,0,1,0,0,1,0,1,0
HIST205,AMMU,HIST,0,0,0,0,0,1,0,0,0,0,1,0
MUSC132,AMMU,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC208,AMMU,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
RELG140,AMMU,RELG,0,0,0,0,0,1,0,0,1,0,1,0
SOAN110,AMMU,SOAN,0,0,0,0,0,0,1,0,0,0,0,1
SOAN111,AMMU,SOAN,0,0,0,0,0,0,1,0,0,0,0,0
GST110,AMMU,GST,0,0,0,0,0,1,0,0,0,0,0,0
AMST115,AMST,AMST,0,0,0,0,0,1,0,0,1,0,1,0
AMST261,AMST,AMST,0,0,0,0,1,0,0,0,0,0,1,0
AMST399,AMST,AMST,0,0,0,0,0,0,0,0,0,0,0,0
ARTH240,AMST,ARTH,0,0,0,0,1,0,0,0,1,0,1,0
ECON232,AMST,ECON,0,0,0,0,0,0,1,0,1,1,1,0
ECON270,AMST,ECON,0,0,0,0,0,0,1,0,0,1,0,0
ENGL117,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,1,0
ENGL236,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,0,0
HIST124,AMST,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST226,AMST,HIST,0,0,0,0,0,1,0,0,1,0,1,0
HIST228,AMST,HIST,0,0,0,0,0,1,0,0,1,0,1,0
MUSC136,AMST,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC215,AMST,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
POSC122,AMST,POSC,0,0,0,0,0,0,1,0,1,1,1,0
POSC202,AMST,POSC,0,0,0,0,0,0,1,0,0,0,1,0
POSC204,AMST,POSC,0,0,0,0,0,0,1,0,0,1,1,0
POSC218,AMST,POSC,0,0,0,0,0,0,1,0,1,1,1,0
OSC271,AMST,OSC,0,0,0,0,0,0,1,0,0,0,0,0
RELG243,AMST,RELG,0,0,0,0,0,1,0,0,0,0,1,0
AMST247,AMST,AMST,0,0,0,0,0,1,0,0,1,0,1,0
MST287,AMST,MST,0,0,0,0,1,0,0,0,0,0,0,0
AMST289,AMST,AMST,0,0,0,0,0,0,0,0,0,0,0,0
AMST345,AMST,AMST,0,0,0,0,0,0,0,0,0,0,1,0
AMST400,AMST,AMST,0,0,0,0,0,0,0,0,0,0,0,0
AMST400,AMST,AMST,0,0,0,0,0,0,0,0,0,0,0,0
ECON271,AMST,ECON,0,0,0,0,0,0,1,0,0,1,0,0
ECON274,AMST,ECON,0,0,0,0,0,0,1,0,0,1,0,0
EDUC338,AMST,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
ENGL223,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,0,0
ENGL235,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,1,0
ENGL288,AMST,ENGL,0,0,0,0,1,0,0,0,0,0,1,0
ENGL334,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,0,0
HIST120,AMST,HIST,0,0,0,0,0,1,0,0,0,1,1,0
HIST194,AMST,HIST,0,0,0,0,0,1,0,0,0,0,0,1
IST212,AMST,IST,0,0,0,0,0,1,0,0,0,0,1,0
HIST224,AMST,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST229,AMST,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST395,AMST,HIST,0,0,0,0,0,1,0,0,1,0,0,1
MUSC115,AMST,MUSC,0,0,0,0,1,0,0,0,1,0,0,0
MUSC126,AMST,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
MUSC247,AMST,MUSC,0,1,0,0,0,0,0,0,1,0,1,0
MUSC247,AMST,MUSC,0,1,0,0,0,0,0,0,1,0,1,0
POSC122,AMST,POSC,0,0,0,0,0,0,1,0,0,1,1,0
POSC122,AMST,POSC,0,0,0,0,0,0,1,0,0,1,1,0
POSC212,AMST,POSC,0,0,0,0,0,0,1,0,0,1,1,0
OSC231,AMST,OSC,0,0,0,0,0,0,1,0,0,0,0,1
POSC352,AMST,POSC,0,0,0,0,0,1,0,0,1,0,1,0
POSC355,AMST,POSC,0,0,0,0,0,0,1,0,1,0,0,1
PSYC384,AMST,PSYC,0,0,0,0,0,0,1,0,0,0,1,0
SOAN114,AMST,SOAN,0,0,0,0,0,0,1,0,0,1,0,0
SOAN272,AMST,SOAN,0,0,0,0,0,0,1,0,0,1,1,0
AMST115,AMST,AMST,0,0,0,0,0,1,0,0,1,0,1,0
AMST225,AMST,AMST,0,0,0,0,0,1,0,0,1,0,1,0
AMST230,AMST,AMST,0,0,0,0,1,0,0,0,1,0,0,0
AMST267,AMST,AMST,0,0,0,0,0,0,1,0,0,0,1,0
AMST396,AMST,AMST,0,0,0,0,0,1,0,0,1,0,0,0
CAMS186,AMST,CAMS,0,0,0,0,1,0,0,0,1,0,0,0
DANC266,AMST,DANC,0,0,0,0,0,1,0,0,0,0,1,0
ECON262,AMST,ECON,0,0,0,0,0,0,1,0,0,1,0,0
ECON270,AMST,ECON,0,0,0,0,0,0,1,0,0,1,0,0
EDUC245,AMST,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
EDUC338,AMST,EDUC,0,0,0,0,0,0,1,0,0,0,1,0
DUC344,AMST,DUC,0,0,0,0,0,0,1,0,0,0,0,0
ENGL258,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,1,0
ENGL261,AMST,ENGL,0,1,0,0,0,0,0,0,1,0,0,0
ENGL329,AMST,ENGL,0,0,0,0,1,0,0,0,1,0,0,0
HIST121,AMST,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST126,AMST,HIST,0,0,0,0,0,1,0,0,1,0,1,0
HIST205,AMST,HIST,0,0,0,0,0,1,0,0,0,0,1,0
HIST216,AMST,HIST,0,0,0,0,0,1,0,0,1,0,1,0
MUSC132,AMST,MUSC,0,0,0,0,1,0,0,0,1,0,1,0
POSC122,AMST,POSC,0,0,0,0,0,0,1,0,0,1,1,0
RELG140,AMST,RELG,0,0,0,0,0,1,0,0,1,0,1,0
ARBC100,ARBC,ARBC,1,0,0,0,0,0,0,1,0,0,0,1
ARBC101,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC204,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC102,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC205,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC211,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC103,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC206,ARBC,ARBC,0,0,0,0,0,0,0,0,0,0,0,0
ARBC222,ARBC,ARBC,0,0,0,0,1,0,0,0,0,0,0,1
ARBC223,ARBC,ARBC,0,1,0,0,0,0,0,0,0,0,0,0
ARBC371,ARBC,ARBC,0,0,0,0,1,0,0,0,0,0,0,1
ARTH101,ARCN,ARTH,0,0,0,0,1,0,0,0,1,0,0,1
CLAS124,ARCN,CLAS,0,0,0,0,0,1,0,0,0,0,0,1
GEOL100,ARCN,GEOL,1,0,0,0,0,0,0,1,0,1,0,0
GEOL100,ARCN,GEOL,1,0,0,0,0,0,0,1,0,1,0,0
GEOL110,ARCN,GEOL,0,0,0,1,0,0,0,0,0,0,0,0
GEOL210,ARCN,GEOL,0,0,0,1,0,0,0,0,1,1,0,0
HIST100,ARCN,HIST,1,0,0,0,0,0,0,1,0,0,0,1
SOAN110,ARCN,SOAN,0,0,0,0,0,0,1,0,0,0,0,1
CLAS267,ARCN,CLAS,0,0,0,0,0,0,1,0,0,0,0,1
GEOL115,ARCN,GEOL,0,0,0,1,0,0,0,0,0,1,0,0
SOAN110,ARCN,SOAN,0,0,0,0,0,0,1,0,0,0,0,1
ARCN246,ARCN,ARCN,0,0,0,1,0,0,0,0,0,0,0,0
ARCN246L,ARCN,ARCN,0,0,0,0,0,0,0,0,0,0,0,0
GEOL110,ARCN,GEOL,0,0,0,1,0,0,0,0,0,0,0,0
GEOL110,ARCN,GEOL,0,0,0,1,0,0,0,0,0,0,0,0
HIST238,ARCN,HIST,0,0,0,0,0,1,0,0,0,0,0,1
SOAN110,ARCN,SOAN,0,0,0,0,0,0,1,0,0,0,0,1
ARTH100,ARTH,ARTH,1,0,0,0,0,0,0,1,0,0,0,1
ARTH101,ARTH,ARTH,0,0,0,0,1,0,0,0,1,0,0,1
ARTH166,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH215,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH240,ARTH,ARTH,0,0,0,0,1,0,0,0,1,0,1,0
ARTH341,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,1,0
ARTH400,ARTH,ARTH,0,0,0,0,0,0,0,0,0,0,0,0
CLAS124,ARTH,CLAS,0,0,0,0,0,1,0,0,0,0,0,1
ARTH102,ARTH,ARTH,0,0,0,0,1,0,0,0,1,0,0,1
ARTH102,ARTH,ARTH,0,0,0,0,1,0,0,0,1,0,0,1
ARTH142,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
RTH209,ARTH,RTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH400,ARTH,ARTH,0,0,0,0,0,0,0,0,0,0,0,0
ARTH184,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,0
ARTH228,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH236,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH241,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,0
ARTH268,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH269,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH288,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,0
ARTH298,ARTH,ARTH,0,0,0,0,1,0,0,0,0,0,0,0
ARTH400,ARTH,ARTH,0,0,0,0,0,0,0,0,0,0,0,0
ASST319,ASST,ASST,0,0,0,0,0,0,0,0,0,0,0,0
ASST391,ASST,ASST,0,0,0,0,0,0,0,0,0,0,0,0
ASST400,ASST,ASST,0,0,0,0,0,0,0,0,0,0,0,0
ARTH166,ASST,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
CHIN101,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN101,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN204,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN360,ASST,CHIN,0,0,0,0,1,0,0,0,0,0,0,0
ECON240,ASST,ECON,0,0,0,0,0,0,1,0,0,1,0,1
CON241,ASST,CON,0,0,0,0,0,0,1,0,0,1,0,0
IST259,ASST,IST,0,0,0,0,0,1,0,0,0,0,0,1
HIST270,ASST,HIST,0,0,0,0,0,1,0,0,0,0,0,1
HIST298,ASST,HIST,0,0,0,0,0,1,0,0,0,0,0,0
JAPN101,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN101,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN204,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN245,ASST,JAPN,0,0,0,0,1,0,0,0,0,0,0,1
MUSC180,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC180J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC181,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC181J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC182,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC182J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC280,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC280J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC281,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC281J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC282,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC282J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
POSC170,ASST,POSC,0,0,0,0,0,0,1,0,0,0,0,1
OSC230,ASST,OSC,0,0,0,0,0,0,1,0,1,1,0,0
SOAN330,ASST,SOAN,0,0,0,0,0,0,1,0,1,0,0,0
ASST130,ASST,ASST,0,0,0,0,0,1,0,0,0,0,0,1
ASST400,ASST,ASST,0,0,0,0,0,0,0,0,0,0,0,0
RTH209,ASST,RTH,0,0,0,0,1,0,0,0,0,0,0,1
ASLN111,ASST,ASLN,0,0,0,0,0,0,1,0,0,0,0,0
CAMS330,ASST,CAMS,0,0,0,0,1,0,0,0,0,0,0,0
CHIN102,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN102,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN205,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN205,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
HIST268,ASST,HIST,0,0,0,0,0,1,0,0,0,0,0,1
HIST298,ASST,HIST,0,0,0,0,0,1,0,0,0,0,0,0
JAPN102,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN102,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN205,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN351,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
LCST245,ASST,LCST,0,0,0,0,1,0,0,0,1,0,0,1
MUSC180,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC180J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC181,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC181J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC182,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC182J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC280,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC280J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC281,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC281J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC282,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC282J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
POSC170,ASST,POSC,0,0,0,0,0,0,1,0,1,0,0,1
OSC230,ASST,OSC,0,0,0,0,0,0,1,0,1,1,0,0
POSC237,ASST,POSC,0,0,0,0,0,0,1,0,1,1,0,1
RELG122,ASST,RELG,0,0,0,0,0,1,0,0,1,0,0,1
RELG150,ASST,RELG,0,0,0,0,0,1,0,0,1,0,0,1
RELG300,ASST,RELG,0,0,0,0,0,1,0,0,0,0,0,0
SOAN331,ASST,SOAN,0,0,0,0,0,0,1,0,1,0,0,1
WGST241,ASST,WGST,0,0,0,0,0,0,1,0,0,0,0,1
ASST282,ASST,ASST,0,0,0,0,0,1,0,0,0,0,0,1
ASST400,ASST,ASST,0,0,0,0,0,0,0,0,0,0,0,0
ARTH268,ASST,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH269,ASST,ARTH,0,0,0,0,1,0,0,0,0,0,0,1
ARTH298,ASST,ARTH,0,0,0,0,1,0,0,0,0,0,0,0
CHIN103,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN103,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN206,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
CHIN250,ASST,CHIN,0,0,0,0,1,0,0,0,0,0,0,1
CHIN347,ASST,CHIN,0,0,0,0,0,0,0,0,0,0,0,0
IST151,ASST,IST,0,0,0,0,0,1,0,0,0,0,0,1
HIST161,ASST,HIST,0,0,0,0,0,1,0,0,0,0,0,1
HIST255,ASST,HIST,0,0,0,0,0,1,0,0,1,0,0,1
JAPN103,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN103,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN103,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN206,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
JAPN206,ASST,JAPN,0,0,0,0,0,0,0,0,0,0,0,0
MUSC180,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC180J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC181,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC181J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC182,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC182J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC280,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC280J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC281,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC281J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC282,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
MUSC282J,ASST,MUSC,0,1,0,0,0,0,0,0,0,0,0,0
POSC170,ASST,POSC,0,0,0,0,0,0,1,0,0,1,0,1
OSC230,ASST,OSC,0,0,0,0,0,0,1,0,1,1,0,0
RELG153,ASST,RELG,0,0,0,0,0,1,0,0,1,0,0,1
RELG237,ASST,RELG,0,0,0,0,0,1,0,0,1,0,0,0
RELG265,ASST,RELG,0,0,0,0,0,1,0,0,1,0,0,1
RELG362,ASST,RELG,0,0,0,0,0,1,0,0,1,0,0,1
WGST310,ASST,WGST,0,0,0,0,0,1,0,0,0,0,0,1
ASTR110,ASTR,ASTR,0,0,0,1,0,0,0,0,0,1,0,0
ASTR113,ASTR,ASTR,0,0,0,1,0,0,0,0,0,1,0,0
ASTR110,ASTR,ASTR,0,0,0,1,0,0,0,0,0,1,0,0
ASTR113,ASTR,ASTR,0,0,0,1,0,0,0,0,0,1,0,0
ASTR233,ASTR,ASTR,0,0,0,0,0,0,0,0,0,1,0,0
BIOL100,BIOL,BIOL,1,0,0,0,0,0,0,1,0,0,0,0
BIOL125,BIOL,BIOL,0,0,0,1,0,0,0,0,0,1,0,0
BIOL125L,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL125L,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL125L,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL252,BIOL,BIOL,0,0,0,0,0,0,0,0,0,1,0,0
BIOL253,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL280,BIOL,BIOL,0,0,0,0,0,0,0,0,0,1,0,0
BIOL281,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL281,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL321,BIOL,BIOL,0,0,0,0,0,0,0,0,1,1,0,0
BIOL322,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
BIOL350,BIOL,BIOL,0,0,0,0,0,0,0,0,0,1,0,0
BIOL380,BIOL,BIOL,0,0,0,0,0,0,0,0,0,0,0,0
